local date,local time,city,lat,lon,aqi,h,p,pm10,pm25,so2,t,w,wg,co,no2,o3,dew,r
2020-03-19,23:00:00,"Guido, Roma, Lazio, Italy",41.9248746,12.4934413,82,46.2,1019.3,30.0,82.0,0.3,20.0,4.4,9.6,0.1,4.6,24.0,,
2020-03-19,23:00:00,"V.Cairoli, Udine, Friuli Venezia Giulia, Italy",46.06611716,13.2406876,55,65.0,1045.2,17.0,55.0,0.1,13.6,0.2,0.5,,,,,
2020-03-19,23:00:00,"Giardini, Emilia Romagna, Italy",44.636985,10.905724,32,54.5,1018.6,32.0,95.0,,13.8,3.1,0.6,,33.0,39.4,,
2020-03-19,23:00:00,"Acropoli, Arezzo, Italy",43.458591187681,11.888247347751,55,45.0,1022.8,16.0,55.0,,19.8,0.3,4.3,,16.5,,,
2020-03-18,23:00:00,"Verra, Trecate, Piemonte, Italy",45.4371054,8.7452213,124,86.4,1023.3,,124.0,,6.8,0.5,0.4,,,,,
2020-03-19,23:00:00,"Zalamella, Emilia Romagna, Italy",44.427783966,12.186494827,41,76.0,1023.3,41.0,104.0,5.1,14.4,0.1,0.8,0.1,22.0,43.1,,
2020-03-19,23:00:00,"Fiumicino Villa Guglielmi, Roma, Lazio, Italy",41.7702662,12.2366768,85,53.0,1023.0,30.0,85.0,0.6,16.5,3.3,,0.1,12.8,23.6,7.0,
2020-03-20,18:00:00,"Casoria Scuola Palizzi (CAM), Casoria, Campania, Italy",40.91463,14.29866,37,71.0,1020.0,40.0,98.0,,14.0,2.0,11.3,,4.6,37.4,9.0,
2020-03-17,23:00:00,"Rubino, Torino, Piemonte, Italy",45.0402149,7.6227648,87,61.3,1019.7,,87.0,,11.4,0.3,2.6,,,,,
2020-03-19,23:00:00,"Verucchio, Emilia Romagna, Italy",44.013877,12.420964,122,58.0,1022.2,25.0,122.0,,15.5,1.0,4.0,0.1,5.5,44.7,,
2020-03-18,23:00:00,"Treviglio , Lombardia, Italy",45.51933533,9.59201917,95,76.0,1022.0,46.0,95.0,0.6,9.0,2.8,,0.1,44.8,,5.0,
2020-03-19,23:00:00,"S. Rocco, Emilia Romagna, Italy",44.873727,10.664777,89,71.0,1023.7,38.0,89.0,,13.8,0.5,3.0,0.1,9.2,41.5,,
2020-03-19,23:00:00,"Viareggio, Viareggio, Italy",43.881437296938,10.244316772468,82,45.0,1021.4,30.0,82.0,,18.4,2.0,2.7,,28.8,,,
2020-03-19,23:00:00,"Montale, Montale, Italy",43.913660405481,11.006226278906,61,53.5,1022.1,20.0,61.0,,17.6,3.7,7.0,0.1,22.4,,,
2020-03-19,23:00:00,"Flaminia, Emilia Romagna, Italy",44.052101135,12.575679779,-,73.5,1023.0,49.0,129.0,,13.0,1.8,,0.1,27.0,41.5,8.5,
2020-03-19,23:00:00,"Paradigna, Emilia Romagna, Italy",44.841275,10.344572,80,50.2,1008.4,35.0,80.0,5.1,16.9,,0.1,,46.7,39.0,,
2020-03-19,23:00:00,"Lm-pr-paip, Emilia Romagna, Italy",44.921606,10.326173,89,50.2,1008.4,38.0,89.0,5.1,16.9,,0.1,,26.1,33.8,,
2020-03-19,23:00:00,"Fontechiari, Frosinone, Lazio, Italy",41.668821,13.6755001,63,41.0,1031.8,22.0,63.0,0.6,21.3,7.0,10.0,0.1,6.0,18.3,,
2020-03-18,23:00:00,"Ponti sul Mincio , Lombardia, Italy",45.41277633,10.68336214,107,85.0,1015.0,43.0,107.0,,10.0,4.1,,,20.6,45.1,7.6,
2020-03-19,23:00:00,"Roma, Emilia Romagna, Italy",44.215974,12.057502,32,63.8,1021.1,32.0,74.0,,14.0,1.6,2.4,0.1,21.5,42.7,,
2020-03-20,17:00:00,"Acerra Zona Industriale, Acerra, Campania, Italy",40.97971,14.401,3,59.9,1013.5,48.0,128.0,1.7,16.1,2.0,,2.8,7.7,,8.3,
